Sample_ID	WWTP_ID	Site_ID	Site_Name	Sampling_Date	Latitude	Longitude	City Name	Country/Region	Continent	Climate type	Annual average	Annual mean of daily maximum	Annual mean of daily minimum	Sampling month average	Sampling moment	Annual	Sampling month	GDP per capita (dollars)	City population	Year_Built	Designed capacity (m3/d)	Actual Inf rate (m3/d)	Volume of aeration tanks (m3)	HTR_plant	HTR_aeration_tank	SRT	A5_general_type	A5_detailed	Nitrificaiton	Denitrification	Aerator_type	BOD_Inf	BOD_inf/(1+recycle ratio)	BOD_Aeration tank inf	BOD_eff	COD_Inf	COD_inf/(1+recycle ratio)	COD_Aeration tank inf	COD_eff	F/M (kg BOD/kg MLSS-d)	NH4_Inf	NH4_Aeration tank inf	NH4_Eff	NH4_Inf	TN_Aeration tank inf	TN_Eff	TP_Inf	TP_Aeration tank inf	TP_eff	IndWaste_Contained in Inf?	IndWaste_Percentage	MLSS (mg/l)	DO (mg/l)	pH	Mixed liquid temperature (oC)	Conductivity (_S/cm)	NH4-N (mg/l)	NO3-N (mg/l)	SVI (ml/g)
SASC5	SASC1	SACT	Cape Town	42116	-33.8712423	18.7344695	Cape Town	South Africa	Africa	Csa	18	28	7	18	NA	661	55	14086	4178700	2006	12000	10000	1116	NA	NA	25	A2O	UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox)	Yes	Yes	NA	NA	NA	NA	NA	969	NA	710	30	NA	89.1	70	1.5	148	NA	NA	15.1	10	2.2	Yes	0.075	5550	1.2	7.1	20	NA	NA	NA	NA
SASC6	SASC1	SACT	Cape Town	42116	-33.8712423	18.7344695	Cape Town	South Africa	Africa	Csa	18	28	7	18	NA	661	55	14086	4178700	2006	12000	10000	1116	NA	NA	25	A2O	UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox)	Yes	Yes	NA	NA	NA	NA	NA	969	NA	710	30	NA	89.1	70	1.5	148	NA	NA	15.1	10	2.2	Yes	0.075	5550	1.2	7.1	20	NA	NA	NA	NA
SAKB1	SAKB1	SADB	Durban	42116	-30.075822	30.8562836	Durban	South Africa	Africa	Cfa	18	28	7	18	NA	975	70	12884	3796000	1995	3100	3400	4380	NA	NA	28	A2O	UCT	Yes	Yes	NA	473	NA	473	18.3	697	NA	697	39	0.097134643	18.69	18.69	0	NA	NA	NA	3.87	3.87	0.45	Yes	0.075	3780	1.33	7.35	22.2	NA	NA	NA	NA
SAKB2	SAKB1	SADB	Durban	42116	-30.075822	30.8562836	Durban	South Africa	Africa	Cfa	18	28	7	18	NA	975	70	12884	3796000	1995	3100	3400	4380	NA	NA	28	A2O	UCT	Yes	Yes	NA	473	NA	473	18.3	697	NA	697	39	0.097134643	18.69	18.69	0	NA	NA	NA	3.87	3.87	0.45	Yes	0.075	3780	1.33	7.35	22.2	NA	NA	NA	NA
SAKB3	SAKB1	SADB	Durban	42116	-30.075822	30.8562836	Durban	South Africa	Africa	Cfa	18	28	7	18	NA	975	70	12884	3796000	1995	3100	3400	4380	NA	NA	28	A2O	UCT	Yes	Yes	NA	473	NA	473	18.3	697	NA	697	39	0.097134643	18.69	18.69	0	NA	NA	NA	3.87	3.87	0.45	Yes	0.075	3780	1.24	7.35	22.2	NA	NA	NA	NA
SAKB4	SAKB1	SADB	Durban	42116	-30.075822	30.8562836	Durban	South Africa	Africa	Cfa	18	28	7	18	NA	975	70	12884	3796000	1995	3100	3400	4380	NA	NA	28	A2O	UCT	Yes	Yes	NA	473	NA	473	18.3	697	NA	697	39	0.097134643	18.69	18.69	0	NA	NA	NA	3.87	3.87	0.45	Yes	0.075	3780	1.24	7.35	22.2	NA	NA	NA	NA
SAKB5	SAKB1	SADB	Durban	42116	-30.075822	30.8562836	Durban	South Africa	Africa	Cfa	18	28	7	18	NA	975	70	12884	3796000	1995	3100	3400	4380	NA	NA	28	A2O	UCT	Yes	Yes	NA	473	NA	473	18.3	697	NA	697	39	0.097134643	18.69	18.69	0	NA	NA	NA	3.87	3.87	0.45	Yes	0.075	3780	1.1	7.35	22.2	NA	NA	NA	NA
SAKB6	SAKB1	SADB	Durban	42116	-30.075822	30.8562836	Durban	South Africa	Africa	Cfa	18	28	7	18	NA	975	70	12884	3796000	1995	3100	3400	4380	NA	NA	28	A2O	UCT	Yes	Yes	NA	473	NA	473	18.3	697	NA	697	39	0.097134643	18.69	18.69	0	NA	NA	NA	3.87	3.87	0.45	Yes	0.075	3780	1.1	7.35	22.2	NA	NA	NA	NA
SAPN1	SAPN1	SADB	Durban	42116	-29.702788	31.0048384	Durban	South Africa	Africa	Cfa	21	29	13	23	NA	975	70	12884	3796000	NA	25000	24000	7066	13.5	13.5	25	A2O	MLE (with tapered surface aeration)	Yes	Yes	NA	NA	NA	NA	NA	450	225	NA	55	NA	50.87	50.87	4	NA	NA	NA	4.41	NA	1.36	No	0	NA	1.65	7.15	23.18	NA	NA	NA	NA
SAPN2	SAPN1	SADB	Durban	42116	-29.702788	31.0048384	Durban	South Africa	Africa	Cfa	21	29	13	23	NA	975	70	12884	3796000	NA	25000	24000	7066	13.5	13.5	25	A2O	MLE (with tapered surface aeration)	Yes	Yes	NA	NA	NA	NA	NA	450	225	NA	55	NA	50.87	51.87	4	NA	NA	NA	4.41	NA	1.36	No	0	NA	1.65	7.15	23.18	NA	NA	NA	NA
