,phylo0,S,lat.abs,Latitude.Google,Temperature,hemi
NZPN3,291.51613,1991,43.59166,-43.59166,11,South
ATLA1A,363.79708,2603,48.206519,48.206519,12,North
ATLA1B,352.21667,2590,48.206519,48.206519,12,North
ATLA1C,355.31331,2646,48.206519,48.206519,12,North
ATLA2A,369.18169,2730,48.206519,48.206519,12,North
ATLA2B,369.32848,2635,48.206519,48.206519,12,North
ATLA2C,358.7609,2597,48.206519,48.206519,12,North
ATLA3A,427.36632,2908,48.206519,48.206519,12,North
ATLA3B,409.42214,2832,48.206519,48.206519,12,North
ATLA3C,408.80594,2883,48.206519,48.206519,12,North
ATLA4A,284.00262,1977,48.206519,48.206519,12,North
ATLA4B,284.83408,1999,48.206519,48.206519,12,North
ATLA4C,293.26723,2047,48.206519,48.206519,12,North
DKAE1A,331.32313,2541,57.04521,57.04521,10,North
DKAE1B,325.6846,2573,57.04521,57.04521,10,North
DKAE1C,345.89665,2724,57.04521,57.04521,10,North
DKAW1A,319.35757,2490,57.04803,57.04803,10,North
DKAW1B,311.37641,2444,57.04803,57.04803,10,North
DKAW1C,308.14088,2401,57.04803,57.04803,10,North
DEKS1A,405.95838,3001,51.326566,51.326566,10,North
DEKS1B,361.29818,2623,51.326566,51.326566,10,North
DEKS1C,354.2294,2598,51.326566,51.326566,10,North
DEHE1A,322.21528,2367,49.102551,49.102551,12,North
DEHE1B,312.67313,2320,49.102551,49.102551,12,North
DEHE1C,310.01758,2318,49.102551,49.102551,12,North
DENE1A,225.34056,1695,49.044676,49.044676,12,North
DENE1B,233.66093,1762,49.044676,49.044676,12,North
DENE1C,228.06714,1758,49.044676,49.044676,12,North
DERA1A,368.47184,2805,48.883295,48.883295,12,North
DERA1B,364.79092,2731,48.883295,48.883295,12,North
DERA1C,361.84592,2732,48.883295,48.883295,12,North
ITMC3A,295.95728,2032,44.73902,44.73902,14,North
ITMC3B,295.24852,2099,44.73902,44.73902,14,North
ITMC3C,305.22254,2224,44.73902,44.73902,14,North
ITRB1A,353.73545,2483,44.657932,44.657932,14,North
ITRB1B,339.35331,2477,44.657932,44.657932,14,North
ITRB1C,350.73833,2543,44.657932,44.657932,14,North
ITRM1A,400.57724,2815,41.900909,41.900909,17,North
ITLF2A,428.44765,3247,44.63477,44.63477,14,North
ITLF2B,425.37046,3167,44.63477,44.63477,14,North
ITLF2C,435.1427,3292,44.63477,44.63477,14,North
ITFS4A,360.19453,2629,45.428291,45.428291,15,North
ITFS4B,345.30072,2529,45.428291,45.428291,15,North
LUSF1A,400.67212,2827,49.611272,49.611272,11,North
LUSF1B,402.34403,2811,49.611272,49.611272,11,North
LUSF1C,402.06845,2724,49.611272,49.611272,11,North
PTLB1A,179.28927,1200,38.722559,38.722559,17,North
PTLB1B,176.18425,1199,38.722559,38.722559,17,North
PTLB1C,172.86611,1150,38.722559,38.722559,17,North
PTLB2A,361.05418,2397,38.722559,38.722559,17,North
PTLB2B,348.5428,2356,38.722559,38.722559,17,North
PTLB2C,349.78824,2309,38.722559,38.722559,17,North
PTLB3A,294.28461,2157,38.722559,38.722559,17,North
PTLB3B,286.11798,2176,38.722559,38.722559,17,North
PTLB3C,286.16501,2210,38.722559,38.722559,17,North
PTLB4A,306.41141,2364,38.722559,38.722559,17,North
PTLB4B,294.60454,2218,38.722559,38.722559,17,North
PTLB4C,301.27869,2347,38.722559,38.722559,17,North
PTLB5A,342.32182,2522,38.722559,38.722559,17,North
PTLB5B,342.67846,2549,38.722559,38.722559,17,North
PTLB5C,343.94823,2575,38.722559,38.722559,17,North
PTLB6A,365.64289,2700,38.722559,38.722559,17,North
PTLB6B,355.43315,2672,38.722559,38.722559,17,North
SEGL1A,342.17179,2428,57.121704,57.121704,8,North
SEGL1B,321.0537,2356,57.121704,57.121704,8,North
SEGL1C,316.39875,2274,57.121704,57.121704,8,North
SEGL2A,320.03422,2328,57.121704,57.121704,8,North
SEGL2B,316.95846,2311,57.121704,57.121704,8,North
SEGL2C,327.10546,2378,57.121704,57.121704,8,North
